trialnum,tgt_distance,tgt_angle_1,tgt_angle_2,rotation,gain,online_fb,endpoint_feedback,clamped_fb,between_blocks,target_size
1,90,90,90,0,1,1,1,0,0,6
2,90,90,90,0,1,1,1,0,0,6
3,90,90,90,0,1,1,1,0,0,6
4,90,90,90,0,1,1,1,0,0,6
5,90,90,90,0,1,1,1,0,0,6
6,90,90,90,0,1,1,1,0,0,6
7,90,90,90,0,1,1,1,0,0,6
8,90,90,90,0,1,1,1,0,0,6
9,90,90,90,0,1,1,1,0,0,6
10,90,90,90,0,1,1,1,0,0,6
11,90,90,90,0,1,1,1,0,0,6
12,90,90,90,0,1,1,1,0,0,6
13,90,90,90,0,1,1,1,0,0,6
14,90,90,90,0,1,1,1,0,0,6
15,90,90,90,0,1,1,1,0,0,6
16,90,90,90,0,1,1,1,0,0,6
17,90,90,90,0,1,1,1,0,0,6
18,90,90,90,0,1,1,1,0,0,6
19,90,90,90,0,1,1,1,0,0,6
20,90,90,90,0,1,1,1,0,0,6
21,90,90,90,0,1,1,1,0,0,6
22,90,90,90,0,1,1,1,0,0,6
23,90,90,90,0,1,1,1,0,0,6
24,90,90,90,0,1,1,1,0,0,6
25,90,90,90,0,1,1,1,0,0,6
26,90,90,90,0,1,1,1,0,0,6
27,90,90,90,0,1,1,1,0,0,6
28,90,90,90,0,1,1,1,0,0,6
29,90,90,90,0,1,1,1,0,0,6
30,90,90,90,0,1,1,1,0,0,6
31,90,90,90,0,1,1,1,0,0,6
32,90,90,90,0,1,1,1,0,0,6
33,90,90,90,0,1,1,1,0,0,6
34,90,90,90,0,1,1,1,0,0,6
35,90,90,90,0,1,1,1,0,0,6
36,90,90,90,0,1,1,1,0,0,6
37,90,90,90,0,1,1,1,0,0,6
38,90,90,90,0,1,1,1,0,0,6
39,90,90,90,0,1,1,1,0,0,6
40,90,90,90,0,1,1,1,0,0,6
41,90,90,90,0,1,1,1,0,0,6
42,90,90,90,0,1,1,1,0,0,6
43,90,90,90,0,1,1,1,0,0,6
44,90,90,90,0,1,1,1,0,0,6
45,90,90,90,0,1,1,1,0,0,6
46,90,90,90,0,1,1,1,0,0,6
47,90,90,90,0,1,1,1,0,0,6
48,90,90,90,0,1,1,1,0,0,6
49,90,90,90,0,1,1,1,0,0,6
50,90,90,90,0,1,1,1,0,0,6
51,90,90,90,0,1,1,1,0,0,6
52,90,90,90,0,1,1,1,0,0,6
53,90,90,90,0,1,1,1,0,0,6
54,90,90,90,0,1,1,1,0,0,6
55,90,90,90,0,1,1,1,0,0,6
56,90,90,90,0,1,1,1,0,0,6
57,90,90,90,0,1,1,1,0,0,6
58,90,90,90,0,1,1,1,0,0,6
59,90,90,90,0,1,1,1,0,0,6
60,90,90,90,0,1,1,1,0,0,6
61,90,90,90,0,1,1,1,0,0,6
62,90,90,90,0,1,1,1,0,0,6
63,90,90,90,0,1,1,1,0,0,6
64,90,90,90,0,1,1,1,0,0,6
65,90,90,90,0,1,1,1,0,0,6
66,90,90,90,0,1,1,1,0,0,6
67,90,90,90,0,1,1,1,0,0,6
68,90,90,90,0,1,1,1,0,0,6
69,90,90,90,0,1,1,1,0,0,6
70,90,90,90,0,1,1,1,0,2,6
71,90,90,86,0,1,1,1,0,0,6
72,90,90,90,0,1,1,1,0,0,6
73,90,90,90,-4,1,1,1,0,0,6
74,90,90,90,0,1,1,1,0,0,6
75,90,90,90,-2,1,1,1,0,0,6
76,90,90,90,0,1,1,1,0,0,6
77,90,90,90,-2,1,1,1,0,0,6
78,90,90,90,0,1,0,0,0,0,6
79,90,90,86,0,1,1,1,0,0,6
80,90,90,90,0,1,0,0,0,0,6
81,90,90,90,0,1,1,1,0,0,6
82,90,90,90,0,1,0,0,0,0,6
83,90,90,90,-4,1,1,1,0,0,6
84,90,90,90,0,1,1,1,0,0,6
85,90,90,86,0,1,1,1,0,0,6
86,90,90,90,0,1,1,1,0,0,6
87,90,90,86,0,1,1,1,0,0,6
88,90,90,90,0,1,1,1,0,0,6
89,90,90,90,0,1,1,1,0,0,6
90,90,90,90,0,1,1,1,0,0,6
91,90,90,90,4,1,1,1,0,0,6
92,90,90,90,0,1,1,1,0,0,6
93,90,90,90,2,1,1,1,0,0,6
94,90,90,90,0,1,0,0,0,0,6
95,90,90,90,2,1,1,1,0,0,6
96,90,90,90,0,1,0,0,0,0,6
97,90,90,86,0,1,1,1,0,0,6
98,90,90,90,0,1,1,1,0,0,6
99,90,90,90,-4,1,1,1,0,0,6
100,90,90,90,0,1,1,1,0,0,6
101,90,90,92,0,1,1,1,0,0,6
102,90,90,90,0,1,1,1,0,0,6
103,90,90,90,4,1,1,1,0,0,6
104,90,90,90,0,1,1,1,0,0,6
105,90,90,90,2,1,1,1,0,0,6
106,90,90,90,0,1,0,0,0,0,6
107,90,90,88,0,1,1,1,0,0,6
108,90,90,90,0,1,1,1,0,0,6
109,90,90,86,0,1,1,1,0,0,6
110,90,90,90,0,1,1,1,0,0,6
111,90,90,94,0,1,1,1,0,0,6
112,90,90,90,0,1,0,0,0,0,6
113,90,90,90,0,1,1,1,0,0,6
114,90,90,90,0,1,0,0,0,0,6
115,90,90,86,0,1,1,1,0,0,6
116,90,90,90,0,1,0,0,0,0,6
117,90,90,90,4,1,1,1,0,0,6
118,90,90,90,0,1,0,0,0,0,6
119,90,90,86,0,1,1,1,0,0,6
120,90,90,90,0,1,0,0,0,0,6
121,90,90,86,0,1,1,1,0,0,6
122,90,90,90,0,1,0,0,0,0,6
123,90,90,90,4,1,1,1,0,0,6
124,90,90,90,0,1,0,0,0,0,6
125,90,90,90,-2,1,1,1,0,0,6
126,90,90,90,0,1,1,1,0,0,6
127,90,90,90,-4,1,1,1,0,0,6
128,90,90,90,0,1,1,1,0,0,6
129,90,90,86,0,1,1,1,0,0,6
130,90,90,90,0,1,0,0,0,0,6
131,90,90,92,0,1,1,1,0,0,6
132,90,90,90,0,1,0,0,0,0,6
133,90,90,94,0,1,1,1,0,0,6
134,90,90,90,0,1,0,0,0,0,6
135,90,90,90,2,1,1,1,0,0,6
136,90,90,90,0,1,1,1,0,0,6
137,90,90,86,0,1,1,1,0,0,6
138,90,90,90,0,1,0,0,0,0,6
139,90,90,94,0,1,1,1,0,0,6
140,90,90,90,0,1,0,0,0,0,6
141,90,90,90,0,1,1,1,0,0,6
142,90,90,90,0,1,1,1,0,0,6
143,90,90,90,4,1,1,1,0,0,6
144,90,90,90,0,1,0,0,0,0,6
145,90,90,90,-2,1,1,1,0,0,6
146,90,90,90,0,1,1,1,0,0,6
147,90,90,90,-4,1,1,1,0,0,6
148,90,90,90,0,1,1,1,0,0,6
149,90,90,86,0,1,1,1,0,0,6
150,90,90,90,0,1,0,0,0,0,6
151,90,90,86,0,1,1,1,0,0,6
152,90,90,90,0,1,0,0,0,0,6
153,90,90,90,2,1,1,1,0,0,6
154,90,90,90,0,1,0,0,0,0,6
155,90,90,90,0,1,1,1,0,0,6
156,90,90,90,0,1,0,0,0,0,6
157,90,90,90,4,1,1,1,0,0,6
158,90,90,90,0,1,1,1,0,0,6
159,90,90,88,0,1,1,1,0,0,6
160,90,90,90,0,1,0,0,0,0,6
161,90,90,92,0,1,1,1,0,0,6
162,90,90,90,0,1,0,0,0,0,6
163,90,90,88,0,1,1,1,0,0,6
164,90,90,90,0,1,1,1,0,0,6
165,90,90,90,2,1,1,1,0,0,6
166,90,90,90,0,1,1,1,0,0,6
167,90,90,88,0,1,1,1,0,0,6
168,90,90,90,0,1,1,1,0,0,6
169,90,90,90,-2,1,1,1,0,0,6
170,90,90,90,0,1,0,0,0,2,6
171,90,90,88,0,1,1,1,0,0,6
172,90,90,90,0,1,1,1,0,0,6
173,90,90,90,-2,1,1,1,0,0,6
174,90,90,90,0,1,0,0,0,0,6
175,90,90,88,0,1,1,1,0,0,6
176,90,90,90,0,1,1,1,0,0,6
177,90,90,94,0,1,1,1,0,0,6
178,90,90,90,0,1,1,1,0,0,6
179,90,90,90,-4,1,1,1,0,0,6
180,90,90,90,0,1,1,1,0,0,6
181,90,90,90,2,1,1,1,0,0,6
182,90,90,90,0,1,0,0,0,0,6
183,90,90,90,2,1,1,1,0,0,6
184,90,90,90,0,1,1,1,0,0,6
185,90,90,86,0,1,1,1,0,0,6
186,90,90,90,0,1,0,0,0,0,6
187,90,90,86,0,1,1,1,0,0,6
188,90,90,90,0,1,1,1,0,0,6
189,90,90,92,0,1,1,1,0,0,6
190,90,90,90,0,1,1,1,0,0,6
191,90,90,88,0,1,1,1,0,0,6
192,90,90,90,0,1,0,0,0,0,6
193,90,90,90,-2,1,1,1,0,0,6
194,90,90,90,0,1,1,1,0,0,6
195,90,90,92,0,1,1,1,0,0,6
196,90,90,90,0,1,0,0,0,0,6
197,90,90,90,4,1,1,1,0,0,6
198,90,90,90,0,1,0,0,0,0,6
199,90,90,90,4,1,1,1,0,0,6
200,90,90,90,0,1,0,0,0,0,6
201,90,90,90,-2,1,1,1,0,0,6
202,90,90,90,0,1,1,1,0,0,6
203,90,90,94,0,1,1,1,0,0,6
204,90,90,90,0,1,0,0,0,0,6
205,90,90,90,4,1,1,1,0,0,6
206,90,90,90,0,1,1,1,0,0,6
207,90,90,94,0,1,1,1,0,0,6
208,90,90,90,0,1,1,1,0,0,6
209,90,90,90,4,1,1,1,0,0,6
210,90,90,90,0,1,0,0,0,0,6
211,90,90,92,0,1,1,1,0,0,6
212,90,90,90,0,1,1,1,0,0,6
213,90,90,90,-2,1,1,1,0,0,6
214,90,90,90,0,1,0,0,0,0,6
215,90,90,90,-4,1,1,1,0,0,6
216,90,90,90,0,1,0,0,0,0,6
217,90,90,90,-2,1,1,1,0,0,6
218,90,90,90,0,1,1,1,0,0,6
219,90,90,92,0,1,1,1,0,0,6
220,90,90,90,0,1,1,1,0,0,6
221,90,90,90,4,1,1,1,0,0,6
222,90,90,90,0,1,1,1,0,0,6
223,90,90,94,0,1,1,1,0,0,6
224,90,90,90,0,1,1,1,0,0,6
225,90,90,86,0,1,1,1,0,0,6
226,90,90,90,0,1,0,0,0,0,6
227,90,90,88,0,1,1,1,0,0,6
228,90,90,90,0,1,0,0,0,0,6
229,90,90,90,2,1,1,1,0,0,6
230,90,90,90,0,1,1,1,0,0,6
231,90,90,90,0,1,1,1,0,0,6
232,90,90,90,0,1,1,1,0,0,6
233,90,90,86,0,1,1,1,0,0,6
234,90,90,90,0,1,1,1,0,0,6
235,90,90,86,0,1,1,1,0,0,6
236,90,90,90,0,1,0,0,0,0,6
237,90,90,90,-4,1,1,1,0,0,6
238,90,90,90,0,1,0,0,0,0,6
239,90,90,86,0,1,1,1,0,0,6
240,90,90,90,0,1,1,1,0,0,6
241,90,90,90,-4,1,1,1,0,0,6
242,90,90,90,0,1,1,1,0,0,6
243,90,90,90,0,1,1,1,0,0,6
244,90,90,90,0,1,0,0,0,0,6
245,90,90,94,0,1,1,1,0,0,6
246,90,90,90,0,1,0,0,0,0,6
247,90,90,92,0,1,1,1,0,0,6
248,90,90,90,0,1,0,0,0,0,6
249,90,90,92,0,1,1,1,0,0,6
250,90,90,90,0,1,1,1,0,0,6
251,90,90,90,-4,1,1,1,0,0,6
252,90,90,90,0,1,1,1,0,0,6
253,90,90,90,2,1,1,1,0,0,6
254,90,90,90,0,1,1,1,0,0,6
255,90,90,90,-4,1,1,1,0,0,6
256,90,90,90,0,1,0,0,0,0,6
257,90,90,88,0,1,1,1,0,0,6
258,90,90,90,0,1,0,0,0,0,6
259,90,90,92,0,1,1,1,0,0,6
260,90,90,90,0,1,1,1,0,0,6
261,90,90,90,0,1,1,1,0,0,6
262,90,90,90,0,1,0,0,0,0,6
263,90,90,90,4,1,1,1,0,0,6
264,90,90,90,0,1,0,0,0,0,6
265,90,90,86,0,1,1,1,0,0,6
266,90,90,90,0,1,0,0,0,0,6
267,90,90,94,0,1,1,1,0,0,6
268,90,90,90,0,1,0,0,0,0,6
269,90,90,86,0,1,1,1,0,0,6
270,90,90,90,0,1,0,0,0,2,6
271,90,90,94,0,1,1,1,0,0,6
272,90,90,90,0,1,0,0,0,0,6
273,90,90,90,2,1,1,1,0,0,6
274,90,90,90,0,1,0,0,0,0,6
275,90,90,94,0,1,1,1,0,0,6
276,90,90,90,0,1,0,0,0,0,6
277,90,90,90,0,1,1,1,0,0,6
278,90,90,90,0,1,0,0,0,0,6
279,90,90,90,-2,1,1,1,0,0,6
280,90,90,90,0,1,0,0,0,0,6
281,90,90,90,2,1,1,1,0,0,6
282,90,90,90,0,1,1,1,0,0,6
283,90,90,94,0,1,1,1,0,0,6
284,90,90,90,0,1,0,0,0,0,6
285,90,90,90,0,1,1,1,0,0,6
286,90,90,90,0,1,0,0,0,0,6
287,90,90,92,0,1,1,1,0,0,6
288,90,90,90,0,1,0,0,0,0,6
289,90,90,86,0,1,1,1,0,0,6
290,90,90,90,0,1,0,0,0,0,6
291,90,90,90,4,1,1,1,0,0,6
292,90,90,90,0,1,1,1,0,0,6
293,90,90,90,2,1,1,1,0,0,6
294,90,90,90,0,1,1,1,0,0,6
295,90,90,92,0,1,1,1,0,0,6
296,90,90,90,0,1,0,0,0,0,6
297,90,90,90,2,1,1,1,0,0,6
298,90,90,90,0,1,1,1,0,0,6
299,90,90,86,0,1,1,1,0,0,6
300,90,90,90,0,1,0,0,0,0,6
301,90,90,90,-4,1,1,1,0,0,6
302,90,90,90,0,1,0,0,0,0,6
303,90,90,90,4,1,1,1,0,0,6
304,90,90,90,0,1,0,0,0,0,6
305,90,90,90,-2,1,1,1,0,0,6
306,90,90,90,0,1,0,0,0,0,6
307,90,90,88,0,1,1,1,0,0,6
308,90,90,90,0,1,1,1,0,0,6
309,90,90,94,0,1,1,1,0,0,6
310,90,90,90,0,1,0,0,0,0,6
311,90,90,90,4,1,1,1,0,0,6
312,90,90,90,0,1,0,0,0,0,6
313,90,90,86,0,1,1,1,0,0,6
314,90,90,90,0,1,1,1,0,0,6
315,90,90,90,-4,1,1,1,0,0,6
316,90,90,90,0,1,0,0,0,0,6
317,90,90,90,0,1,1,1,0,0,6
318,90,90,90,0,1,0,0,0,0,6
319,90,90,90,-4,1,1,1,0,0,6
320,90,90,90,0,1,0,0,0,0,6
321,90,90,90,-4,1,1,1,0,0,6
322,90,90,90,0,1,0,0,0,0,6
323,90,90,86,0,1,1,1,0,0,6
324,90,90,90,0,1,1,1,0,0,6
325,90,90,92,0,1,1,1,0,0,6
326,90,90,90,0,1,1,1,0,0,6
327,90,90,90,-4,1,1,1,0,0,6
328,90,90,90,0,1,1,1,0,0,6
329,90,90,92,0,1,1,1,0,0,6
330,90,90,90,0,1,0,0,0,0,6
331,90,90,90,4,1,1,1,0,0,6
332,90,90,90,0,1,1,1,0,0,6
333,90,90,90,-2,1,1,1,0,0,6
334,90,90,90,0,1,1,1,0,0,6
335,90,90,88,0,1,1,1,0,0,6
336,90,90,90,0,1,1,1,0,0,6
337,90,90,90,2,1,1,1,0,0,6
338,90,90,90,0,1,0,0,0,0,6
339,90,90,90,2,1,1,1,0,0,6
340,90,90,90,0,1,0,0,0,0,6
341,90,90,90,-4,1,1,1,0,0,6
342,90,90,90,0,1,0,0,0,0,6
343,90,90,92,0,1,1,1,0,0,6
344,90,90,90,0,1,0,0,0,0,6
345,90,90,90,-2,1,1,1,0,0,6
346,90,90,90,0,1,0,0,0,0,6
347,90,90,88,0,1,1,1,0,0,6
348,90,90,90,0,1,1,1,0,0,6
349,90,90,94,0,1,1,1,0,0,6
350,90,90,90,0,1,0,0,0,0,6
351,90,90,90,-4,1,1,1,0,0,6
352,90,90,90,0,1,0,0,0,0,6
353,90,90,90,-2,1,1,1,0,0,6
354,90,90,90,0,1,0,0,0,0,6
355,90,90,92,0,1,1,1,0,0,6
356,90,90,90,0,1,1,1,0,0,6
357,90,90,90,0,1,1,1,0,0,6
358,90,90,90,0,1,0,0,0,0,6
359,90,90,94,0,1,1,1,0,0,6
360,90,90,90,0,1,0,0,0,0,6
361,90,90,90,2,1,1,1,0,0,6
362,90,90,90,0,1,0,0,0,0,6
363,90,90,90,-2,1,1,1,0,0,6
364,90,90,90,0,1,1,1,0,0,6
365,90,90,90,-4,1,1,1,0,0,6
366,90,90,90,0,1,0,0,0,0,6
367,90,90,92,0,1,1,1,0,0,6
368,90,90,90,0,1,0,0,0,0,6
369,90,90,92,0,1,1,1,0,0,6
370,90,90,90,0,1,0,0,0,2,6
371,90,90,90,2,1,1,1,0,0,6
372,90,90,90,0,1,0,0,0,0,6
373,90,90,86,0,1,1,1,0,0,6
374,90,90,90,0,1,1,1,0,0,6
375,90,90,94,0,1,1,1,0,0,6
376,90,90,90,0,1,1,1,0,0,6
377,90,90,90,2,1,1,1,0,0,6
378,90,90,90,0,1,1,1,0,0,6
379,90,90,92,0,1,1,1,0,0,6
380,90,90,90,0,1,0,0,0,0,6
381,90,90,90,2,1,1,1,0,0,6
382,90,90,90,0,1,1,1,0,0,6
383,90,90,86,0,1,1,1,0,0,6
384,90,90,90,0,1,0,0,0,0,6
385,90,90,90,4,1,1,1,0,0,6
386,90,90,90,0,1,1,1,0,0,6
387,90,90,94,0,1,1,1,0,0,6
388,90,90,90,0,1,0,0,0,0,6
389,90,90,90,-4,1,1,1,0,0,6
390,90,90,90,0,1,1,1,0,0,6
391,90,90,90,4,1,1,1,0,0,6
392,90,90,90,0,1,0,0,0,0,6
393,90,90,90,4,1,1,1,0,0,6
394,90,90,90,0,1,0,0,0,0,6
395,90,90,90,-4,1,1,1,0,0,6
396,90,90,90,0,1,1,1,0,0,6
397,90,90,86,0,1,1,1,0,0,6
398,90,90,90,0,1,0,0,0,0,6
399,90,90,90,4,1,1,1,0,0,6
400,90,90,90,0,1,0,0,0,0,6
401,90,90,86,0,1,1,1,0,0,6
402,90,90,90,0,1,0,0,0,0,6
403,90,90,90,2,1,1,1,0,0,6
404,90,90,90,0,1,1,1,0,0,6
405,90,90,92,0,1,1,1,0,0,6
406,90,90,90,0,1,0,0,0,0,6
407,90,90,90,-2,1,1,1,0,0,6
408,90,90,90,0,1,0,0,0,0,6
409,90,90,90,2,1,1,1,0,0,6
410,90,90,90,0,1,1,1,0,0,6
411,90,90,94,0,1,1,1,0,0,6
412,90,90,90,0,1,1,1,0,0,6
413,90,90,90,2,1,1,1,0,0,6
414,90,90,90,0,1,1,1,0,0,6
415,90,90,90,0,1,1,1,0,0,6
416,90,90,90,0,1,0,0,0,0,6
417,90,90,90,4,1,1,1,0,0,6
418,90,90,90,0,1,1,1,0,0,6
419,90,90,90,0,1,1,1,0,0,6
420,90,90,90,0,1,1,1,0,0,6
421,90,90,90,-4,1,1,1,0,0,6
422,90,90,90,0,1,1,1,0,0,6
423,90,90,90,-2,1,1,1,0,0,6
424,90,90,90,0,1,0,0,0,0,6
425,90,90,94,0,1,1,1,0,0,6
426,90,90,90,0,1,1,1,0,0,6
427,90,90,90,4,1,1,1,0,0,6
428,90,90,90,0,1,1,1,0,0,6
429,90,90,90,-4,1,1,1,0,0,6
430,90,90,90,0,1,0,0,0,0,6
431,90,90,90,2,1,1,1,0,0,6
432,90,90,90,0,1,1,1,0,0,6
433,90,90,90,0,1,1,1,0,0,6
434,90,90,90,0,1,1,1,0,0,6
435,90,90,90,-2,1,1,1,0,0,6
436,90,90,90,0,1,1,1,0,0,6
437,90,90,94,0,1,1,1,0,0,6
438,90,90,90,0,1,1,1,0,0,6
439,90,90,90,-4,1,1,1,0,0,6
440,90,90,90,0,1,0,0,0,0,6
441,90,90,94,0,1,1,1,0,0,6
442,90,90,90,0,1,1,1,0,0,6
443,90,90,90,-4,1,1,1,0,0,6
444,90,90,90,0,1,1,1,0,0,6
445,90,90,90,0,1,1,1,0,0,6
446,90,90,90,0,1,0,0,0,0,6
447,90,90,86,0,1,1,1,0,0,6
448,90,90,90,0,1,1,1,0,0,6
449,90,90,90,2,1,1,1,0,0,6
450,90,90,90,0,1,0,0,0,0,6
451,90,90,90,2,1,1,1,0,0,6
452,90,90,90,0,1,1,1,0,0,6
453,90,90,88,0,1,1,1,0,0,6
454,90,90,90,0,1,1,1,0,0,6
455,90,90,92,0,1,1,1,0,0,6
456,90,90,90,0,1,0,0,0,0,6
457,90,90,90,2,1,1,1,0,0,6
458,90,90,90,0,1,1,1,0,0,6
459,90,90,90,2,1,1,1,0,0,6
460,90,90,90,0,1,0,0,0,0,6
461,90,90,88,0,1,1,1,0,0,6
462,90,90,90,0,1,0,0,0,0,6
463,90,90,88,0,1,1,1,0,0,6
464,90,90,90,0,1,0,0,0,0,6
465,90,90,88,0,1,1,1,0,0,6
466,90,90,90,0,1,0,0,0,0,6
467,90,90,90,4,1,1,1,0,0,6
468,90,90,90,0,1,0,0,0,0,6
469,90,90,92,0,1,1,1,0,0,6
470,90,90,90,0,1,1,1,0,2,6
471,90,90,90,-4,1,1,1,0,0,6
472,90,90,90,0,1,1,1,0,0,6
473,90,90,90,4,1,1,1,0,0,6
474,90,90,90,0,1,0,0,0,0,6
475,90,90,86,0,1,1,1,0,0,6
