iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
49,rem,pea,pea,[23.24359224  2.14029621  6.85535358  1.52098787],[24.96845385  0.88884805  2.54369468  1.50693529]
50,piece,piece,piece,[5.33008419 0.76161042 0.81004615],[5.65024344 0.7169088  0.87182827]
50,pea,pea,pea,[7.01049886 0.38412852 0.73945225],[5.88229708 0.36494335 0.77569198]
50,premo,premo,premo,[ 0.97467356 23.74690788 21.6031232  13.67073456  1.          1.51089242],[ 0.97606594 10.23654212  8.9301891  17.40921014  0.96616254  1.44894398]
50,rem,pea,pea,[20.89457672  2.10826745  3.68013352  1.29787552],[19.09405396  2.11145218  3.79519046  1.27551631]
51,piece,piece,piece,[ 5.08376193  0.73965284 -0.56376403],[ 4.78508202  1.03703996 -0.56655058]
51,pea,pea,pea,[ 9.93927923  0.36568288 -0.64030982],[13.47638417  0.36511556 -0.61034225]
51,premo,pea,pea,[ 0.41688732  0.39969315 22.49006122  9.79515978  1.          1.61721053],[ 0.13622191  9.75468976 12.49297008 15.4002423   1.          1.60359457]
51,rem,rem,rem,[24.2328434   2.18424125  0.83718402  1.0061778 ],[25.          2.50398378  1.07849424  0.78649271]
52,piece,piece,piece,[ 3.81089999  0.6075549  -0.55351841],[ 3.4357041   0.80100727 -0.5549805 ]
52,pea,pea,pea,[10.93135243  0.28488343  1.000728  ],[13.47475786  0.27424395  1.0262389 ]
52,premo,premo,premo,[ 0.46699916 10.82656854  5.23573398  9.48695483  1.         -0.35808557],[ 0.99974794 13.6670749   7.76270251 17.01059688  0.91106578 -0.38114349]
52,rem,pea,pea,[16.44465175  1.72305059  5.84165558  2.02426521],[9.92026885 2.51341852 7.30278077 2.04165939]
53,piece,piece,piece,[ 5.08453034  1.00594246 -0.65371355],[ 4.31356216  1.15557785 -0.64354325]
53,pea,pea,pea,[6.4227461  0.35191623 0.06585775],[1.35294049e+01 3.24840388e-01 1.28649095e-02]
53,premo,premo,pea,[ 0.12643175  0.79109762  1.78219468 20.12404285  1.          1.36060114],[ 0.27677758 10.64850923 12.50192594 14.46200399  1.          1.38917725]
53,rem,pea,pea,[21.06146435  1.4689984   8.42332322 -0.36001463],[ 5.15441148  2.30234135 10.         -0.38743471]
54,piece,piece,piece,[ 5.98292873  1.39085231 -0.22014229],[ 4.88046437  1.16856005 -0.19451586]
54,pea,pea,pea,[19.5459301   0.37157149  1.39438652],[25.          0.3726918   1.36685476]
54,premo,premo,premo,[ 0.70386425 24.9774612  23.6810847  15.31378984  1.         -0.45596482],[ 0.49763127 11.77429117 12.89734816 12.89734817  1.         -0.5702703 ]
54,rem,pea,pea,[20.17376396  2.29368261  6.55060865  1.04136608],[10.75185126  2.51306072  6.06446734  1.15193142]
55,piece,piece,piece,[5.84524831 0.09698328 0.83833502],[8.43271295 0.61718292 0.82558752]
55,pea,rem,pea,[5.62672027 0.22101176 1.89092562],[13.08387199  0.16603704  1.9116543 ]
55,premo,pea,pea,[ 0.69740397 12.9090037  20.18997733  4.47484458  1.          0.72761951],[ 0.         12.33645725 12.51063092 12.69770555  0.93634268  0.65054034]
55,rem,pea,pea,[2.00677702 3.6488819  9.66577424 2.04143682],[12.00051168  0.05096623  7.20771093  1.76914063]
56,piece,piece,piece,[5.30136921 0.75502985 1.78719905],[5.56381375 1.05319574 1.78025602]
56,pea,pea,pea,[8.64618371 0.49574864 1.97990211],[8.18898506 0.49414394 2.00455658]
56,premo,premo,premo,[ 0.90021583 12.08645638  8.34809449 23.69336199  1.         -0.19997436],"[ 9.17470113e-01  1.59188059e+01  1.00000000e-02  6.27000509e+00
  1.00000000e+00 -1.88090241e-01]"
56,rem,pea,pea,[ 8.15897645  0.58128779  2.9361372  -0.25772327],[13.22348682  0.91904869  6.21261993 -0.13186582]
57,piece,piece,piece,[ 5.16050048  0.11969619 -0.26708224],[ 7.62051662  0.01505604 -0.29989175]
57,pea,pea,pea,[22.46611821  0.15942516  0.13276784],[13.46242883  0.1656421   0.07269079]
57,premo,pea,pea,[ 0.81601601 20.04850749 21.92720371  4.44081233  1.         -0.59418058],[ 0.99923777  6.89073959  7.42177003 22.74810996  1.         -0.61112883]
57,rem,pea,pea,[22.15746906  0.46066897  7.38352799  0.64453995],[12.5668331   0.59168553  7.66321565  0.55058885]
58,piece,piece,piece,[ 4.1084666   0.50579532 -0.04075441],[ 5.38306687  0.22732018 -0.00821005]
58,pea,pea,pea,[24.38754945  0.44120054  0.12398284],[25.          0.42804164  0.10546851]
58,premo,premo,premo,[ 0.89852682 19.54871513  5.95286975 18.20887066  1.          0.18329183],[ 0.85522456 10.06498651 19.06333118  2.72107681  1.          0.1749463 ]
58,rem,rem,pea,[14.10693477  2.11042747  1.03443056 -0.18465548],[16.99432083  4.65514592  3.49827584 -0.15565307]
59,piece,piece,piece,[6.26835848 0.30849333 0.18320987],[5.11025421 0.03799566 0.18103453]
59,pea,pea,pea,[9.40022626 0.13922899 0.42819205],[13.48785904  0.10910209  0.38444133]
59,premo,pea,pea,[ 0.06623619 10.16812442  5.42882285 14.01857609  1.          1.7304976 ],[ 0.1039821  10.13932841 12.50223533 14.96759663  1.          1.64349268]
59,rem,rem,rem,[19.89466723  3.97328985  2.50195297  1.92886682],[19.06290052  4.66492414  3.11327278  1.87249609]
60,piece,piece,piece,[6.07099358 0.08234444 0.38166784],[4.21973503 0.64042462 0.43002416]
60,pea,pea,pea,[2.68420073 0.20189184 0.68023854],[1.88421442 0.30262107 0.6019192 ]
60,premo,premo,pea,[ 0.17145489  0.82602272  6.85823059 19.02485027  1.         -0.48665049],[ 0.73279051  7.92456366 11.95811102 17.76341279  1.         -0.54038634]
60,rem,pea,pea,[12.98962876  2.65867055  3.11106534 -0.05898913],[ 8.55382585  7.8115596  10.         -0.14885745]
61,piece,piece,piece,[ 5.30477092  0.19100062 -0.34248439],[ 9.83089615  0.4728664  -0.27086332]
61,pea,pea,pea,[15.35275323  0.457518    1.81577273],[13.56593051  0.47576712  1.82053717]
61,premo,premo,premo,[ 0.86033187  6.74822693  9.85363076 15.39333073  1.          0.29805138],[1.         0.01943171 0.01       0.01452298 0.94795877 0.30821122]
61,rem,pea,pea,[10.54689958  2.15123127  2.22302349 -0.31786592],[18.95190878  2.56902363  3.18999082 -0.38452109]
62,piece,piece,piece,[5.76234609 0.5169415  1.29462723],[3.99508402 0.78639625 1.28015987]
62,pea,pea,pea,[ 6.40123269  0.38363203 -0.37517032],[ 3.21041964  0.67459696 -0.27316256]
62,premo,premo,pea,[ 0.36952766 19.92899361 12.65831037  9.39230338  1.          1.9051955 ],[0.36205901 0.26375019 0.01       0.3295576  1.         2.01525365]
62,rem,pea,pea,[24.32408696  2.25628608  7.52822758  1.92462409],[25.          0.2813005   0.          2.02338295]
63,piece,piece,piece,[5.4947091  0.10106542 0.50457933],[7.52993593 0.3897849  0.51344238]
63,pea,pea,pea,[20.97162444  0.4155164   1.23784902],[13.53642238  0.39432441  1.17721792]
63,premo,premo,pea,[ 0.23852466 11.42529489 22.47772129 17.2405502   1.          1.16349024],[ 0.971561    6.35991876 10.51989056 18.17364529  1.          1.17436205]
63,rem,piece,piece,[3.98508203 2.46971077 0.13540226 1.61227616],[3.98274298 2.47416377 0.13363883 1.54977974]
64,piece,piece,piece,[4.50751768 0.23521972 1.06172336],[4.15134292 1.80611765 0.9537164 ]
64,pea,pea,pea,[3.11539044 0.35841446 0.97921811],[13.46189095  0.13925245  0.96272424]
64,premo,premo,premo,[ 0.87814913 10.66140174 12.13281574  9.69633332  1.          1.51122931],[ 0.7855268  11.50715841 12.6518301  13.32997346  1.          1.47433482]
64,rem,pea,pea,[2.34142231 2.0205263  8.41008763 0.91230775],[12.78031098  0.1586385   6.61585227  1.0452245 ]
65,piece,piece,piece,[5.91111373 0.99864125 1.78023976],[7.02717214 0.69448368 1.81453132]
65,pea,pea,pea,[11.07762096  0.39543718  1.29171382],[13.51792285  0.38925502  1.24812248]
65,premo,pea,pea,[ 0.37810504 11.68856947 12.89779348  8.74951735  1.          0.88926958],[ 0.97433361  6.88917098  8.8077204  20.70172356  1.          0.87451593]
65,rem,pea,pea,[6.86316893 2.3769569  6.51616033 0.31222957],[13.43188746  1.79143333  5.4730206   0.26235301]
66,piece,piece,piece,[5.06854548 0.2072897  1.47663475],[3.84464593 0.04893228 1.44361317]
66,pea,pea,pea,[6.37780962 0.46039906 0.44387934],[5.71311373 0.54149003 0.35902578]
66,premo,premo,premo,[ 0.46165457  5.66859912 17.82900294 19.4980253   1.          0.66708152],[ 0.46370808 12.70165564 12.76894787 10.99457009  1.          0.54900431]
66,rem,pea,pea,[16.87397153  3.93348647  8.80957661 -0.74380953],[16.20732603  2.37741324  4.5112124  -0.65502536]
67,piece,piece,piece,[5.92800283 0.22217398 1.50502552],[8.33450229 0.01       1.56585587]
67,pea,pea,pea,[22.06977684  0.1773239  -0.29267136],[25.          0.1598074  -0.25245257]
67,premo,premo,premo,[ 0.39397937 24.85387758  6.94082955 24.74284362  1.          0.50655638],[ 0.51456675 14.34378857 15.7947353   8.43320027  0.92016869  0.42874263]
67,rem,pea,pea,[6.23957858 2.03425675 2.94542915 0.63256776],[7.71052881 2.07252078 3.00404181 0.64987045]
68,piece,piece,piece,[ 4.62097747  1.36246188 -0.06130083],[ 5.53086532  1.08089166 -0.21184687]
68,pea,pea,pea,[8.65309757 0.44945734 1.38559166],[13.5585139   0.4127941   1.40840609]
68,premo,premo,premo,[ 0.66128609  1.83379235  8.7729124  13.05811861  1.         -0.33875386],[ 0.83218126 13.05648097 12.44937508 12.01392949  0.88830168 -0.25428777]
68,rem,pea,pea,[16.71753803  1.47220443  5.40938337  1.36457063],[19.03453027  1.20541567  4.33898852  1.20144134]
69,piece,piece,piece,[ 3.78859819  0.67047302 -0.55400878],[ 3.902735    1.31186579 -0.49183127]
69,pea,pea,pea,[2.84540946 0.42836853 0.33537608],[2.84934616 0.53388508 0.30337439]
69,premo,premo,pea,[ 0.21954512  0.69796001 21.59495204  2.51103954  1.          0.5768416 ],"[1.00000000e+00 5.99365657e+00 1.00000000e-02 2.23937248e+01
 8.55341690e-01 5.37847454e-01]"
69,rem,pea,pea,[15.39653486  0.89726706  6.54781374  1.62354911],[12.86680357  1.33285828  6.43479807  1.70915787]
70,piece,piece,piece,[ 4.85630344  0.52894499 -0.04623893],[ 4.88779487  0.46480676 -0.01878918]
70,pea,pea,pea,[11.28851228  0.35440509  0.74858837],[13.52563058  0.35344795  0.73438365]
70,premo,premo,premo,[ 0.38785065 20.99667953 14.31214273 15.77557287  1.          1.6988451 ],[0.99997378 0.01416379 0.01       0.0287269  1.         1.72921881]
70,rem,rem,pea,[ 2.00282698  1.28143336  7.6431986  -0.27290523],[ 2.04580298  1.2674637   9.61943128 -0.27125883]
71,piece,piece,piece,[6.28295556 1.30463296 0.53808587],[6.40330859 1.36753336 0.56332568]
71,pea,pea,pea,[4.70787246 0.16174516 0.28158727],[13.46936705  0.0971444   0.32116574]
71,premo,premo,pea,[ 0.64966858 18.4524495  20.35676917 10.09087851  1.          1.55296099],[ 0.3888019  11.36009923 12.50220333 13.69871458  1.          1.53094054]
71,rem,rem,rem,[3.29057732 3.88532975 4.0868934  0.49686747],[3.29669594 5.19403278 5.19522904 0.52743372]
72,piece,piece,piece,[4.29148851 0.68742    1.38101388],[5.14709911 1.13999729 1.390082  ]
72,pea,pea,pea,[20.19307486  0.2517086   0.56309315],[25.          0.29169734  0.62526932]
72,premo,pea,pea,[ 0.34387985 11.36946079 17.41083858  5.01538168  1.          1.27136288],[ 0.20958782 10.28941277 12.48966857 14.86039444  0.24316308  1.40580405]
72,rem,piece,piece,[15.39027089  4.08123492  0.42931387  1.93577896],[15.37739995  4.07774881  0.42846291  1.93505334]
73,piece,piece,piece,[3.77364067 0.23276938 0.11960174],[4.00331064 0.71527561 0.13223722]
73,pea,pea,pea,[20.9978939   0.16540827  1.09925214],[13.41290689  0.17822131  1.16296455]
73,premo,premo,premo,[ 0.4090242  13.97023302  8.307234   12.07143141  1.          1.2161568 ],[ 0.46509949 13.26222562 15.75000915  9.24477197  1.          1.22680351]
73,rem,rem,rem,[18.17950798  2.59204798  0.91590087 -0.19485219],[21.11190411  4.9241618   2.5943305  -0.30969084]
74,piece,piece,piece,[4.82565038 0.88523684 1.47893494],[3.3205681  1.60701567 1.35881185]
74,pea,pea,pea,[ 6.25562793  0.29042191 -0.23542493],[13.47476229  0.23222277 -0.15012042]
74,premo,premo,pea,[ 0.41078233  6.82281715 11.80302432  6.24363319  1.          0.50609608],[ 1.          6.65583512  9.5681441  22.47262807  1.          0.63473356]
74,rem,pea,pea,[18.8719013   1.9387528   8.50146128  1.00245543],[7.83582862 2.33085508 7.53932938 1.11985777]
75,piece,piece,piece,[5.38447851 0.72639781 0.84491509],[4.15372145 0.68118863 0.80626613]
75,pea,pea,pea,[10.09987133  0.13970983 -0.72646619],[13.11122896  0.11611304 -0.74501589]
75,premo,premo,pea,[0.35376798 7.0425006  8.11082113 5.3582236  1.         0.62934673],[ 0.16111516 17.9295084  17.07888764  2.40650248  1.          0.59430985]
75,rem,rem,pea,[2.253015   2.98678346 8.99299479 0.66674172],[2.14795955 2.98233105 7.60328476 0.68122464]
76,piece,piece,piece,[ 4.83738505  1.13131324 -0.36098143],[ 7.496668    1.16523897 -0.19314861]
76,pea,pea,pea,[13.66333662  0.14918524  0.58051252],[13.52008457  0.14456499  0.60937582]
76,premo,premo,premo,[ 0.72616318 10.5345511  10.0191671   9.19258984  1.         -0.35178974],[ 0.50751466 24.82454264  1.27761534 18.2875118   1.         -0.21320094]
76,rem,pea,pea,[24.55383604  0.81147325  2.55166486  0.14066943],[25.          0.20872043  0.          0.22670998]
77,piece,piece,piece,[ 4.18310919  0.71825054 -0.36440989],[ 4.80822703  1.09558987 -0.25693609]
77,pea,pea,pea,[2.36484009 0.29685328 1.61038463],[2.47907503 0.34017618 1.50360111]
77,premo,premo,premo,[ 0.76489463 14.86947807 20.82819545 19.51246476  1.          1.46302682],[ 0.74459596 12.11629521 12.69941562 12.4708004   0.94230077  1.36259321]
77,rem,piece,piece,[ 4.25411221  0.52159147  3.23635483 -0.75330878],[12.45236409  0.03785449  7.01495035 -0.84049658]
78,piece,piece,piece,[ 3.64149656  0.94089345 -0.10592246],[10.85296382  0.59540194 -0.17852566]
78,pea,pea,pea,[22.40412385  0.15139717 -0.51645522],[ 3.9527777   0.19076536 -0.44005694]
78,premo,premo,premo,[ 0.37966898 21.02180779  3.17374191 17.46869375  1.          0.52560945],"[3.87290931e-01 1.82622542e+01 2.50000000e+01 1.00000000e-02
 1.00000000e+00 5.29004386e-01]"
78,rem,pea,pea,[23.07421457  1.70738593  4.24016344 -0.14689841],[25.          1.04339798  2.49383426 -0.18588272]
79,piece,piece,piece,[3.82062898 1.34204015 1.78074689],[3.75406904 1.30000308 1.73204199]
79,pea,pea,pea,[12.5561701   0.22986426  1.45084071],[13.37024802  0.20994219  1.47602035]
79,premo,premo,premo,[ 0.85914456 10.31207322  2.1941074  12.04620839  1.          0.236582  ],[ 0.89504545 19.73387645 12.55854413  4.98024326  1.          0.19372248]
79,rem,pea,pea,[24.98041639  0.48446989  6.97481698  0.75946504],[24.6592598   0.13160437  1.26265566  0.634764  ]
80,piece,piece,piece,[4.1373799  0.87408753 1.51024111],[6.19185138 0.90214223 1.53024103]
80,pea,pea,pea,[16.15268043  0.13591815  1.02815842],[7.44443855 0.174632   0.91546144]
80,premo,pea,pea,[ 0.26803172  1.43388252 19.4314522   8.42963012  1.         -0.62726221],[ 0.24499924  9.55043738 12.50926213 15.47471257  0.40059516 -0.63602613]
80,rem,rem,rem,[15.8176055   2.12100067  0.64448148  0.25427402],[21.98368413 10.          6.81504957  0.23379228]
81,piece,piece,piece,[ 4.43891847  0.80374007 -0.41277281],[ 3.55701316  0.53983255 -0.37093405]
81,pea,pea,pea,[17.33149389  0.19225564  0.99305719],[13.45447458  0.19290081  1.05799764]
81,premo,premo,premo,[ 0.60844693  2.47577308  7.82910958 22.77375624  1.         -0.49064494],[ 0.67160735 17.29601418 12.55162308  7.42666048  0.92443054 -0.54675342]
81,rem,pea,pea,[21.70080902  1.98459383  8.91181073  1.06138453],[10.68342979  2.02513438  6.83770958  1.16388204]
82,piece,piece,piece,[ 6.20812356  0.94379448 -0.24732049],[ 4.65907903  0.87240743 -0.15481921]
82,pea,pea,pea,[22.3542262   0.41825169  1.6204664 ],[13.59690425  0.45275512  1.54734013]
82,premo,premo,premo,[ 0.41991172 20.25299747  5.42707816  8.30594266  1.          0.99329733],[ 0.59768197  0.07007372 19.12383922  0.07496954  1.          0.93692787]
82,rem,pea,pea,[19.80430462  1.30336358  6.67763563 -0.44191346],[ 7.89193018  1.68610012  7.96433574 -0.46462408]
83,piece,piece,piece,[4.9481072  1.13809882 0.70806956],[5.31594754 1.10351055 0.73677142]
83,pea,pea,pea,[11.86775999  0.21100855 -0.26033266],[13.47551611  0.21569917 -0.12994369]
83,premo,pea,pea,[ 0.16232794  4.92162571 11.66701194 10.0271746   1.          0.90242713],[ 0.09828245 16.03551465 16.49452512  4.79585718  0.80513685  0.88088104]
83,rem,pea,pea,[2.13839394 1.39164731 5.05037111 1.11804816],[ 2.92034588  2.67143934 10.          1.15072275]
84,piece,piece,piece,[ 5.19899389  1.04971243 -0.23699697],[ 6.15149952  1.25470417 -0.34905772]
84,pea,pea,pea,[22.82558283  0.32545359  0.79619752],[13.52464735  0.37173025  0.703497  ]
84,premo,premo,premo,[ 0.71520863 24.00599474  0.21968143  0.98457138  1.          0.89031455],[ 0.71577429 19.89720489 12.52008057  4.93853827  0.96334463  1.01570339]
84,rem,pea,pea,[16.48168507  1.99695192  1.21452726  0.3712733 ],[25.          1.65989287  0.95861288  0.38967355]
85,piece,piece,piece,[3.6455849  1.07143028 0.2919479 ],[3.08601641 1.24546959 0.35670948]
85,pea,pea,pea,[12.35729759  0.16020901 -0.3152354 ],[ 4.78503058  0.22705312 -0.36816259]
85,premo,piece,piece,[ 0.9636105  19.56536339 15.42850976  1.94680569  1.          1.07570966],[ 0.         11.46010172 12.52028434 13.60909783  0.92273064  1.04671483]
85,rem,rem,rem,[13.88246078  2.84015654  1.50653611  1.40564548],[15.13046119  4.85825927  3.2600343   1.40211952]
86,piece,piece,piece,[ 5.61683079  0.73452111 -0.31904456],[ 4.94306463  0.66445586 -0.25221027]
86,pea,pea,pea,[13.99257186  0.18165811 -0.41584413],[11.64699836  0.21058062 -0.39375127]
86,premo,premo,premo,[ 0.67142074  8.59512552 20.43767385 14.92152034  1.          0.88521063],[ 0.88793508 11.96328547  9.87610297 21.37264312  1.          0.92951514]
86,rem,rem,pea,[4.1827582  1.43363218 6.21393252 1.45879272],[5.37985337 2.00417229 9.7182439  1.41752409]
87,piece,piece,piece,[4.97479405 0.65444707 1.13846431],[5.84208203 0.21704482 1.12405289]
87,pea,pea,pea,[3.09104278 0.35323276 1.85398623],[1.40679632 1.         1.90679995]
87,premo,premo,premo,[ 0.87711472  6.057487    2.16950901 14.48457672  1.         -0.32147844],[ 0.89361745  6.07295237  4.46702943  1.5358473   0.96109155 -0.31830545]
87,rem,pea,pea,[16.8233268   3.69254911  7.98452629  0.49582407],[8.96989025 2.78493688 5.62956362 0.40359599]
88,piece,piece,piece,[3.7964137  0.3818867  0.20191072],[3.52350256 0.80214587 0.19406984]
88,pea,pea,pea,[10.65386189  0.23041461  2.04016821],[25.          0.21503725  2.04693488]
88,premo,pea,pea,[ 0.2553666  10.29651963 24.56883923 11.77840615  1.         -0.2604955 ],[ 0.14972765 10.83937479 12.50470268 14.27378762  0.46074449 -0.25890456]
88,rem,rem,rem,[3.11427306 3.31480169 5.03521203 0.68727524],[2.50991625 2.31486097 2.65805324 0.70120771]
89,piece,piece,piece,[4.32385161 0.42917356 1.75032163],[5.85698481 0.01       1.74990265]
89,pea,pea,pea,[13.22567313  0.21224545  0.82797311],[13.51165219  0.18871518  0.69265946]
89,premo,premo,premo,[ 0.48990791 15.42179139  9.60146935 21.86952958  1.          0.09223688],"[4.93768557e-01 1.45036402e+01 1.38380297e+01 8.34567642e+00
 1.00000000e+00 1.12263863e-02]"
89,rem,rem,rem,[6.88818532 2.61663043 0.17072607 1.65753478],[6.66791869 2.62960706 0.147282   1.76957327]
90,piece,piece,piece,[3.81737369 0.17535026 1.22637491],[4.87873269 0.03375084 1.34076474]
90,pea,pea,pea,[19.25296231  0.32500336  0.51666065],[13.52093223  0.33670413  0.67666081]
90,premo,piece,piece,[ 0.37857724 23.20818203 20.68165547  3.85087549  1.          1.12341414],[ 0.03516228 11.49534721 12.52124109 13.55597417  1.          1.23515759]
90,rem,pea,pea,[14.4964087   1.60291612  5.53434701  0.78545897],[7.20296405 2.45385931 7.46152223 0.79952502]
91,piece,piece,piece,[4.7255954  0.33224571 0.26421622],[14.12158058  0.06542793  0.24796077]
91,pea,pea,pea,[21.11483256  0.22590531  1.2276026 ],[13.45100586  0.26566255  1.30060982]
91,premo,premo,pea,[ 0.67544317  7.86030369 22.82745912 20.97544075  1.          1.56762924],[ 0.57465578 25.          9.71226738 25.          0.96297425  1.59770492]
91,rem,pea,pea,[7.10988136 3.5697646  3.58976801 1.39173173],[7.51337662 4.71367048 4.82477721 1.37727792]
92,piece,piece,piece,[5.49361557 1.34262649 0.93590798],[10.55620675  0.80311719  0.94506746]
92,pea,pea,pea,[20.51718619  0.22449747  1.58126158],[25.          0.21980136  1.61929868]
92,premo,premo,pea,[ 0.19340043 21.77394397  0.92585164 23.17625727  1.          0.5871618 ],[ 0.28644084 12.45007991 12.51144667 12.58325506  1.          0.52181606]
92,rem,piece,piece,[21.2778784   3.85753444  0.11593485  0.40071485],[21.22957911  3.8655696   0.11615312  0.37632014]
93,piece,piece,piece,[4.0107743  0.85776052 0.60569222],[3.43037769 0.01       0.55971424]
93,pea,pea,pea,[2.89409581 0.24374683 0.91985813],[2.48708313 0.26905729 0.86932941]
93,premo,premo,pea,[ 0.52653477  1.58496387 13.59400619  6.98625393  1.          1.27184607],[ 0.56627982 14.00529654  2.3225079  24.93126152  0.95841074  1.30976649]
93,rem,pea,pea,[24.26804619  1.29900659  6.80099858  0.59814303],[25.          0.18697359  0.          0.57239958]
94,piece,piece,piece,[4.25260451 1.35907193 1.08314115],[6.28305576 1.59374553 1.11729775]
94,pea,pea,pea,[7.79348187 0.27947556 1.12075108],[13.48297614  0.2176038   0.94683376]
94,premo,premo,premo,[ 0.86814942 17.28905372  1.13012278  1.14622797  1.          1.24065314],[ 0.78790293 15.57803863 25.         16.38516191  1.          1.23575646]
94,rem,pea,pea,[19.99247911  2.48624825  8.78892962 -0.53130996],[25.          0.29632957  0.         -0.61820863]
95,piece,piece,piece,[4.08399739 0.55195458 1.36966167],[3.19229642 0.59451491 1.35414577]
95,pea,pea,pea,[11.75227542  0.39979052 -0.05277794],[13.52773454  0.33715949 -0.17924756]
95,premo,premo,premo,[ 0.43012472 16.3016707   8.57027856 19.59365107  1.         -0.56630815],[ 0.68839228 22.50138983 13.00132193 20.47337833  1.         -0.55919691]
95,rem,pea,pea,[13.71905804  0.74947258  2.3476823   1.17823134],[9.77159608 2.0347045  7.1619789  1.13562067]
96,piece,piece,piece,[ 3.85834903  0.20092506 -0.19452095],[ 4.8436828   0.38442533 -0.16079898]
96,pea,pea,pea,[9.83783852 0.19454226 0.25511896],[5.09795924 0.19844088 0.23592105]
96,premo,pea,pea,[ 0.40540701 24.64182975 24.66881297  7.21519637  1.          0.58757663],"[8.49832247e-02 2.50000000e+01 2.50000000e+01 1.00000000e-02
 8.31951191e-01 5.84162042e-01]"
96,rem,pea,pea,[13.42151487  0.29533304  8.37972898  0.43196731],[13.14617402  0.32003146  6.03524452  0.44513604]
97,piece,piece,piece,[6.21420211 0.53114997 1.74028976],[4.53861562 0.34597081 1.70956058]
97,pea,pea,pea,[12.8934812   0.17615063  1.50938635],[13.00470859  0.18187134  1.54237317]
97,premo,premo,premo,[ 0.86796337  7.96784914  4.84154473  7.12218801  1.         -0.56879105],[ 0.86015859 15.13658259 12.44797146  9.53983651  0.99271531 -0.61889669]
97,rem,pea,pea,[8.91758656 3.72181568 9.57707635 1.22302856],[5.7902044  3.64886434 7.76562056 1.26677775]
98,piece,piece,piece,[ 4.86178288  0.23274245 -0.56484753],[ 4.89806967  0.19942292 -0.47761386]
98,pea,pea,pea,[22.20559826  0.16010773  1.222577  ],[13.40350015  0.1950145   1.30048248]
98,premo,premo,pea,[ 0.14520761 14.5584938  20.08747744  8.58286822  1.          1.62012657],[ 0.27034201  9.99801329 12.45756939 15.15275979  0.          1.87012611]
98,rem,pea,pea,[16.41994637  1.33928621  4.75702885  0.66633858],[25.          0.21042119  0.          0.67304785]
99,piece,piece,piece,[5.1111231  1.31810629 0.00745041],[3.71537139e+00 1.39267099e+00 1.86548967e-03]
99,pea,pea,pea,[ 1.50688038e+01  4.18864813e-01 -8.52386642e-03],[25.          0.40949983  0.04072924]
99,premo,premo,premo,[ 0.87918175  7.0428251  24.47076103 17.29451973  1.          1.54348571],"[9.73328174e-01 1.69506592e+01 1.00000000e-02 2.50000000e+01
 9.52671877e-01 1.55759387e+00]"
99,rem,pea,pea,[16.32825897  2.56492294  8.62405715  1.34900587],[12.38332945  2.1571      5.86453081  1.25624977]
